rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52106977,KBI동국실업 신입/경력사원 모집,케이비아이동국실업(주),울산전체,신입·경력,초대졸↑,~ 11/02(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52106977&location=ts&searchType=search&paid_fl=n&search_uuid=fd6faed1-f2e7-4717-9261-7668a70bb1c1,,2025-10-30 03:55:43,80
52053416,펜타시스템 39기 신입사원 공개채용,펜타시스템테크놀러지(주),대전전체,신입,대졸↑,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52053416&location=ts&searchType=search&paid_fl=n&search_uuid=fd6faed1-f2e7-4717-9261-7668a70bb1c1,,2025-10-30 03:55:43,80
51723220,컴퓨터(서버/네트워크/보안/OA) 엔지니어 (서울/경기/대전/대구),(주)델타시스템,대전유성구,경력무관,초대졸↑,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51723220&location=ts&searchType=search&paid_fl=n&search_uuid=fd6faed1-f2e7-4717-9261-7668a70bb1c1,,2025-10-30 03:55:43,80
51997335,"[SK바이오텍] 수시채용(보안기획,안전,품질,조직/교육,사무)",에스케이바이오텍(주),대전전체,신입·경력,고졸↑,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51997335&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,80
51973146,(주)솔리드이엔지  - ICT사업본부 클라우드사업팀 기술영업 모집,(주)솔리드이엔지,대전유성구,신입·경력,학력무관,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51973146&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,80
51716742,공공기관 정보시스템 보안 기술자 정규직 채용 (신입&경력),(주)연무기술,대전유성구,경력무관,학력무관,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51716742&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,80
51747854,네트워크 엔지니어 모집 (신입/경력),(주)넷티스트,대구동구,신입·경력,학력무관,~ 11/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51747854&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,80
51974881,레디로버스트머신 IoT & Mobile machine Solutions Team팀 채용,레디로버스트머신(주),부산전체,경력무관,대졸↑,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51974881&location=ts&searchType=search&paid_fl=n&search_uuid=e23a223e-9e8d-4160-acca-237ea243c0a4,,2025-10-30 03:55:57,80
52142160,[KCC글라스] '25년 하반기 신입/경력사원 수시 채용,(주)케이씨씨글라스,부산전체,신입·경력,학력무관,~ 11/02(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52142160&location=ts&searchType=search&paid_fl=n&search_uuid=4f632d62-a027-4ea8-bbea-1f68f8b21736,,2025-10-30 03:55:53,80
51976370,"[부산] 웹 디자니어,퍼블리셔,프로그래머를 모십니다.",(주)엠버시유학원,부산부산진구,경력무관,학력무관,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51976370&location=ts&searchType=search&paid_fl=n&search_uuid=e23a223e-9e8d-4160-acca-237ea243c0a4,,2025-10-30 03:55:57,80
51720090,기술연구소 연구원 모집(인공지능 영상처리 및 자연어처리),지엔소프트(주),대전유성구,경력무관,대졸↑,~ 11/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51720090&location=ts&searchType=search&paid_fl=n&search_uuid=f52fd880-44d3-425d-90f0-2eea6cd84efe,,2025-10-30 03:55:58,80
52084238,각 부문 신입 및 경력 채용,위드시스템(주),경북전체,신입·경력,고졸↑,~ 11/02(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52084238&location=ts&searchType=search&paid_fl=n&search_uuid=4f632d62-a027-4ea8-bbea-1f68f8b21736,,2025-10-30 03:55:53,80
52065952,[외국계 화학] 각 부문 신입/경력 채용,한국이콜랩(유),울산전체,신입·경력,고졸↑,~ 11/02(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52065952&location=ts&searchType=search&paid_fl=n&search_uuid=4f632d62-a027-4ea8-bbea-1f68f8b21736,,2025-10-30 03:55:53,80
52119952,넥슨커뮤니케이션즈 게임 서비스 직무 채용,(주)넥슨커뮤니케이션즈,부산전체,신입·경력,학력무관,~ 11/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52119952&location=ts&searchType=search&paid_fl=n&search_uuid=c990100b-4601-4f81-9478-7bdc96bf739a,,2025-10-30 03:55:51,70
52157267,"각 부문 경력/신입 모집(개발,현장교정,영업,경영관리)",(주)에이치에스씨엠티,경기용인시 기흥구,경력무관,초대졸↑,~ 11/07(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52157267&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,70
51753337,"(경력무관) 앱개발, 백엔드/서버개발, 웹개발外 정규직 채용",(주)한국갈등관리디지털진흥원,대전유성구,경력무관,학력무관,~ 11/04(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51753337&location=ts&searchType=search&paid_fl=n&search_uuid=4f632d62-a027-4ea8-bbea-1f68f8b21736,,2025-10-30 03:55:53,70
52171302,[참저축은행] IT전산 신입/경력 직원 채용,(주)참저축은행,대구수성구,신입·경력,초대졸↑,~ 11/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52171302&location=ts&searchType=search&paid_fl=n&search_uuid=4f632d62-a027-4ea8-bbea-1f68f8b21736,,2025-10-30 03:55:53,70
51918094,경영관리부/연구개발부(응용프로그래머)/영업부 채용,(주)한맥아이피에스,대구전체,신입·경력,학력무관,~ 11/04(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51918094&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,70
52158059,유진SMRC A.T.(주) IT팀 신입 및 경력사원 수시채용,유진에스엠알시오토모티브테크노(주),부산강서구,경력무관,대졸↑,~ 11/07(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52158059&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,70
52084971,한국전자기술연구원 2025년 정규직 공개채용 공고,한국전자기술연구원,경기성남시 분당구,신입·경력,대졸↑,~ 11/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52084971&location=ts&searchType=search&paid_fl=n&search_uuid=fd6faed1-f2e7-4717-9261-7668a70bb1c1,,2025-10-30 03:55:43,70
52153574,"[대전] 상주 엔지니어(서버, 스토리지, 보안솔루션, 가상화)",(주)테크아이,대전서구,경력무관,초대졸↑,~ 11/04(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52153574&location=ts&searchType=search&paid_fl=n&search_uuid=5b8461db-9fe8-4019-9e96-476fbc31384d,,2025-10-30 03:55:49,70
